review_text,label
Loved this product. Exactly what I ordered and came very promptly. Nice house warming gift!,1
Broke easily,0
Was perfect as my 'something blue' for my wedding.,1
My husband cried. We are finally welcoming our 2nd child in the next couple of weeks after 11 years and he just got a new car so this was the perfect Father’s Day gift. It’s so shiny and perfect!,1
Got as a gift and they loved it. Very nice and well made!,1
bought this as a gist for my daughter in law and she loved it. very nicely made,1
Loved this!!,1
Good,1
It is a great gift.  She has 3 boys and loves it,1
Pretty but heavy,1
Tiny and not like the picture. Gave them to my daughter.,0
Absolutely love this !!,1
"Great small company with a great product.  Highly recommend, great folks!",1
"Ever a fan of Frank Lloyd Wright, Fallingwater has remained at the top of my “bucket list” of destinations. This print serves as my reminder to Go There! And it also perfectly accents my passion for Mid Century Modern decor.<br /> Arrived quickly, and well packaged. Very Happy with it.",1
I love everything about this map! I love the texture. I love the size. I love the 3-D. The quality is fantastic. I am so excited to track my adventures on this map. This map is just as advertised. Love it!,1
"These are beautiful prints. The colors are gorgeous. All prints have a different roses design and colorization. The quality is excellent. You will not be disappointed. Price is great, too.",1
Beautiful,1
Beautiful-but. Are the very last day of  the estimated dates- even tho I had mesg many times asking about shipping sooner for our contractor remodel dates.,1
Beautiful,1
"This is a great fit for plus size and ""not a man's shirt"".. looked great and fit for a plus women. perfect",1
Great,1
"I wish the exact quantity of garlic and mullein was labeled on the bottle and the date it was made. I was desperate to help my dog’s itchy ears but this didn’t nothing, and if anything made it worse. Straight colloidal silver with a few drops of oregano oil worked the best and I’ll be going back to that and using it more long term. Was looking for a permanent fix but this isn’t it.",0
We highly recommend this dog feeding tray looking for a great looking bowl for your pet.,1
"First off, the product looks and sounds great. The first time I picked it up, I figured it would be a five star product. But then came the smell and fumes.<br />I noticed the smell initially but figured it would dissipate quickly. I was wrong. The smell of paint or lacquer--something like that--is so strong that the smell lingers in a room long after the product is removed. Being in a room with that product is enough to get a strong dose. I was lightheaded within 5 minutes and the feeling stayed for a good hour. The headache that accompanied it lingered for far longer.<br />So I tried to correct the problem. I hung out up in the garage with a fan locked on high one foot in front of it, and I left it like that all weekend. The garage was pungent until Wednesday. But that did eventually fade. However, now, if I so much as blow on the product once, even though the sound is AMAZING, the lightheaded feeling returns. So as a whistle, it is useless to me. I can't even display it anywhere besides my garage without the room itself carrying the smell and inducing a headache and lightheadedness.<br />I would recommend the product if it didn't make me physically sick, but I can't. I deeply regret this purchase.<br />The product was crafted very skillfully and for this reason alone I give it two stars instead of one. I still recommend against buying it though.",0
"Gave as a secret santa gift to a stranger; within price range, not cheezy.  Lovely.  She loved it!  Nice item, a little something for a good price.",1
This was a great present for my fiancé for Father’s Day!! I loved that I was able to add my son’s name. It looks great!,1
"I bought the small one , see picture to have an exact idea of the size . Very beautiful, cute , well made ! The package was cute too , super sweet. MADE AND SHIPPED WITH LOVE. Thank you so much !!",1
Item was delivered promptly and looks amazing! It is sure to be a hit at the wedding tomorrow.,1
As described,1
"In my younger days I had the Aurora ""Chamber of Horrors Guillotine"" model. I don't know what happened to it but I decided I wanted another one. That is, until I discovered they cost $ 85.00 and up. So I shopped around on Amazon and found this. It's great! It came completely assembled. The wood is probably balsa, but it looks good and is nicely stained. The blade can be drawn up and released and the stock is functional. The scaffold is a great addition to the tableau one can create.<br />  I intend to add details to the guillotine such as a pulley for the blade, a second rope, a rope hitch, blade release, a basket, restraints, and so on. Also, I'll sculpt a miscreant out of Sculpey.<br /> I couldn't be more pleased with it.",1
"Love this shirt!  Perfect for all the pre-wedding chores.  Soft, washedup well and fit just as it should.  Great gift idea.",1
"These are stunning! Bought them as a gift for a friend. Sparkly, weighty and high quality. She loves them. I’ll probably buy another pair for myself!",1
Looks the same in person as described,1
"I have bought several of these cat planters as gifts for cat loving friends.  I love that I can customize the colors to match my friend's cats.  I had this one made in white, brown & black.  It looked just like my friend's cat.  I put a mini succulent in it & it made a perfect b-day gift.  My friend loved it!",1
"I love the smell and consistency of this lotion, will update after a while when. I see results.",1
I was delighted to find this shop on Amazon right before Navarathri and was thrilled to see that they offered Prime shipping on various lovely items. This rangoli was a huge hit and I absolutely love the quality of work and the color combination. Will be buying from this shop again!,1
This was a gift and they loved it! :),1
Very happy with product.,1
"You have to really jam your games into the slots, but once they’re in, they’re in.<br />Looks nice and is handy if you don’t plan on taking games in and out on a regular basis.",1
"The braided leather bracelet is well made and is just the look I wanted, not too slick, not too rough.  Magnetic clasp is easy to use and secure.  Great birthday gift to myself!",1
HIGH QUALITY,1
AWESOME!,1
"Gloppy soft leather, the credit card slots stretched out and I didn't feel like they would stay put so stopped using it for fear of losing my cards.",0
It feels nice on my finger hope it helps bring peace I really love it. Feels perfect.<br />Love that no two is alike. Your jewelry maker is very talented thanks again.<br />Namaste.,1
It looks perfect in my bathroom.  I bought a white distressed  frame and it looks great!,1
"It broke within a week of getting it. What a waste! Sad too, because the design is sooo cuuute!",0
They are super cute and good quality.  My only complaint is that the location of the post makes these hang over the bottom of my earlobe.,1
"Too thin, not sturdy!",0
Was a great 1 year anniversary gift for a friend. She loved it! Shipping was fast and packing was nice and secure.,1
Perfect and exactly what we expected.,1
Good and simple,1
I picked it out and he saw it and bought it. He gets a lot of compliments,1
"It says in the description that it’s 11x17 and it’s more like 8x10. Already bought the frame, now I’m going to have to return it.",0
Silky smooth and sexy. Great for fun night and wearing under my clothes.,1
Very pretty and delicate. The actual ring part is quite thin though-not sure how long it will hold up.,1
"The fit is pretty good, but it does fog up while wearing.  It was a little expensive.",1
Perfect!!!!! Loved this product!!,1
Excellent,1
I wanted to create an emergency card for my son. I had plenty of room for instructions and information. The notes section allowed me to ask for a Medical symbol. Red Dot produced a truly high quality card. It was perfectly executed. Looks great and they even put a medical sign on back as an artistic add and made this an amazing gift for my son.,1
"Came out great, luv it , I added some more sparkle.",1
Did not like at all. After day 1 started showing water underneath. I pulled it off and put it in the trash,0
Great,1
These were perfect for champagne favors for a bachelorette party I hosted. The quality was very good & they looked great!,1
Interesting facts and fun information for the year someone was born.,1
Beads were excellent quality. Fast delivery,1
Save your money. Tough to get straight on truck window and several discrepancies once on. Took it right off and threw it out.,0
"I ordered 2, one for the Majesty and another for the Adventure.  The magnets are so bright and colorful.  It was nice to be able to put our names and dates on the stateroom magnets.  Will order again for our next cruise.",1
I love it very happy very pleased was exactly what I needed the color is more pink than coral like my pic seems to show,1
This is really a nice piece. My wife loved it. Thank you.,1
BEAUTIFUL… GREAT QUALITY. ORDERING ANOTHER PAIR NOW FOR MY SISTER IN LAW,1
,0
"Ran necklace under water then was rusted by next day..kept pendant which didn't bring authenticity card, but appears to be real..still kind of skeptical though...plus had to get another necklace for the pendant.",1
Claims to be 14k gold but girlfriend w nickel allergy had an allergic reaction to them.,0
"Oh my Goddess, if this isn't the cutest bracelet.  I'll be wearing it everyday. The little witch, broom and star on the moon means so much to me. Beautiful and durable.  Love it!!",1
"Plata sterlina y bonitos los detalles lo que ves en las fotos es lo que obtienes,recomendado sea damas o caballeros.Muchas Gracias!",1
Adorable...just as described...and excellent (personal) customer service!  I have several pairs from someone else and these are half the price and the quality is exceptional!  The smaller size is hard to find...I’m thrilled with my purchase!,1
Made poorly chain broke very easily super disappointing,0
Super easy to mount. I actually just used double sided tape so that I am able to keep them. I absolutely love them!!,1
This made a perfect gift for my Son's wedding.  Adding both their names gave it a personal touch,1
No me agrado se daño muy fácil,0
I think the quality is great and I love how small and dainty it is.,1
"They look exactly like the picture! They’re so cute! They feel real as well, I like wearing them and I think everyone should get on if they have the chance",1
I got this Octopus as a gift to a friend that collect sea animals and it was perfect.  It is well made a very colorful. I'm very happy with it.,1
"This was really good quality! Writing was written nicely and was able to read fine! Love the movie and people who saw laughed and brought memories back!! Also, have wash your hands ya filthy animal lol in restroom. It’s fun!! Very good wood! 😊💞",1
beautiful piece of jewlery...very delicate,1
Very good quality... little expensive,1
"Update- glows, but only for a few minutes after uv exposure",0
Ring came just as it looked in the picture. I loveeee this ring! So beautifully made! And I love that the band is a little adjustable. So stunning! Will def be buying more jewelry. & the handwritten thank you card is such a lovely & personal touch. Thank you so much!!! &lt;3,1
This was purchased as a gift for my nephew to put on the door of his art room and he loved it!!! Size was great for the price.,1
Tarnished on me very quickly.  I thought it was stainless steel but doesn’t seem to be. Cute while it lasted though. Wore for about a month.,0
"Doesn't stay in, just disappointed",0
Love it. But won't stay connected,1
"I ordered this stone in honor of a very special bird I had that passed away.  It is being kept outside, in an area devoted to beloved pets we have lost over the years.  I can't speak to how well it will hold up, but I am hopeful.  The stone is very nicely done, and we are very pleased with it.",1
Bought this for my Girlfriend. She absolutely adored this gift.,1
Beautiful,1
"So not feel safe keeping my iPads in this case,  I like the personalization though and it looks really good",1
Very high quality leather and excellent attention to detail.,1
Beautiful piece and great style!,1
Birthday gift for 16 year old grand daughter. Loved it. Fast delivery.,1
Product as described,1
was great. Excellent workmanship.,1
Purchased this set on Father’s Day for a well deserved man. Great craftsman ship and was inscribed exactly how I asked. My husband loves his gift.,1
I bought this as a birthday present for my son for his dice.  It's well made and he loves it.  He can't wait to show it off to his table top game club when he goes back to college in the fall.,1
This is my second one.  I have had mine for years and just purchased a second one for my husband. Super durable and soft.  Super great value.  Love the style and company.,1
[[VIDEOID:92d7c7683c45ac2247ff311814a218ae]] I was looking for a St Patty’s Day shirt I could wear to work. Our dress code is all black attire with the exception of the holidays (in good taste). I saw this and gave it a try.<br />It’s SOOOOO Much better in person absolutely L💚VE it! Can not wait to wear it.<br />Shipped super fast and will order from her again in the future. Super company. Oh and the shirt is really comfortable too 😊,1
Beautiful and feels very comfortable when wearing.,1
Packaging was great (sturdy cardboard envelope) and the print paper was actually much nicer than expected. It’s like heavy duty photo paper in a poster size. I love it!,1
"Arrived quickly, very high quality",1
Perfect for a small area that needs decoration,1
Hannah did a fantastic job and it is EXACTLY what i wanted...my love is gonna love it. Thank you so much hannah😍😍😍😍,1
Bought this for my best friend and she loved it! Cute and great quality.,1
Nice bracelet.  I like the color and it fits my hand,1
Nice color but smaller than I thought.,1
Very beautiful painting! Looks exactly like the picture. I purchased it for my daughter’s bedroom which is decorated in Long Horns and cow print. She absolutely loves it!,1
Good looking and fits well material looks thin so we will see how it holds up.,1
I ordered 2 custom pieces.  Both items were perfect.  Excellent customer service.,1
"My sign arrived broken.  It was intended for a baby gift.  I am finding it difficult to communicate with the company, so I am out the gift and money.  Pretty disappointed.  The sign was beautiful, and made with love, but sadly, it was broken during shipping.",0
So cute - my daughter loved them,1
I love it! His face is in great color and in both sides if it. I gifted it to a friend and it made her day!,1
muy diferente a la foto,1
it won’t even scan for Spotify and packaging came bent and beat up,0
"I’m not sure you’re supposed to say this anymore but? It’s very manly, shiny and just beautiful",1
It was perfect!!!! My boyfriend loved! So he lives in Iceland and I in USA and when he saw it haha he got excited!! I think was a perfect gift for him after don't see each other in 5 months! haha<br /><br />Thank you!!,1
Went great in my kiddos bathroom,1
"This whole process has been amazing!!! The item had to be custom made to start with, the seller communicated promptly by email and gave me an estimated delivery date of several weeks; which I felt was very reasonable. The seller completed the work 2 weeks before the earliest projected date of delivery. The item is better than I expected it to be, it looks exactly like the picture. Order with confidence from this seller, you will not be disappointed. If I could give more than 5 stars I would.",1
"I bought two customized small ones and one rainbow medium one. They are very well-made, very fun to play with, and look fantastic! I've been looking for this kind of toy for a really long time, and now I finally got what I want! It is perfect for people who need to keep their fingers busy to focus in class and solve hard problems. In particularly, this is a great alternative to playing with your keys or clicking with your pens in class or office, which might be quite annoying to the others.<br /><br />Although two of three metal knots are with customized colors, they still arrived at my doorstep within a week. Very impressive on that. I certainly wish the rainbow one can contain more colors--it now has red, orange, yellow, green, blue, indigo, and violet, which are indeed the colors commonly in a rainbow--but, it probably won't hurt if we have some in-between colors. However, this ""standard"" rainbow colored knot just look fine to me, of course.<br /><br />The other super trivial complain is that the name Möbii, which is I assume is a tribute to the famous Mobius band, is not mathematically correct here. Hopf fibration would definitely be way, way more accurate, but probably not a very good brand choice anyway. (Please ignore this paragraph which is pure nerdy talk.)",1
"Great bows, luxury feels, good red color",1
The memorial “headstone” that I ordered for our beloved fish made the whole difficult situation of burying a pet a little easier for me and my young children to endure. I’m so grateful for this shop for making such special and personalized memorials for even the smallest of family members—a fish.,1
Perfect for my beach themed Christmas tree .,1
It was nice quality. Quick to recieve. Very happy,1
"I bought the Pumpkin pin, and it's in very good quality. It's heavy and clean, with the two clips in the back giving great support to it. It only fell off once, but it's bright colors made it much easier to be found. Just beware picking it up by the actual pin itself, as you might accidentally stab yourself.",1
came out cuter then expected worth it fast shipping,1
Very happy with this purchase. Was a Christmas gift for daughters. Beautiful! Thank you!!,1
perfect,1
Love this,1
It’s exactly what I expected. Pretty on my wall. But now I want to frame it. Can be hung with or without framing.,1
Beautiful earrings for either daily wear or a fancy affair. So many colors to match any outfit. Great value and beautifully made!,1
"Very satisfied with this product, will buy more and fantastic customer service.",1
Just lovely ! Wonderful to add to my holiday gifts !  I bought many and each was made so well and so consistently beautiful. Thank you ! Happy Holidays !,1
"Very well made, nice packing, thank you !!!",1
"I like a thin wallet. This one is perfect for my needs. I have bought this exact same wallet from this seller three times. The only reason I’ve replaced it twice is that both times, I broke the money clip by accident. Not because of quality or craftsmanship—just me being careless. Aside from that, they’ve been the perfect wallet for me. If you like a low profile wallet that you can put in your back pocket and not feel like you’ve got a phone book under one ass cheek, this is the one for you. 5 stars all around. When my current one wears out or I carelessly break the money clip again, I’ll buy another.",1
Love that the flowers are all hand painted on each one I ordered! Will make great appreciation gifts!,1
Pleased with purchase,1
Fits well,1
"Love it!! Great quality, just a tad bit small for men with large hands, but otherwise perfect",1
Love this nose ring. Well made & beautiful.,1
"It is a very lovely linen shirt. The material, the design and the quality are all perfect. The customer service was so nice and helpful. They answered every of my questions in patient, and helped me to choose the best color and fit. They even offered free slight alternation according to my requirement. I'm 5'4"", us size 8, and preferred a little bit loose fit. I ordered size M, color dark grey. It fits like just customized for me. I can use it as a shirt or a summer jacket. I got it so quick. Thank you d69p. I'll order more soon.",1
Absolutely perfect! I got this for our turtle themed RV and it is perfect for the space I wanted it to go. I couldn’t be happy and shipping was very fast. Will order other signs.,1
Can I give you 6 stars? This was such a quick turnaround time and an even better product! Thanks guys!!,1
"I rarely write reviews, but this deserves one. I wanted a Mjollnir for my daughter, and this one is the perfect size! They would also make great dangly earrings, so I may get her another one. On top of that, it came in super fast, even had a hand written ""thank you""! I will be ordering from these folks again for sure.",1
Perfect little earrings. If they are made in other budgie colors I will buy more.,1
"Oh my gosh this little elf is sooooo cute. We have a 12 year old and 9 year old twins. They all have elf on the shelves. We just had a baby on the 4th of July and thought it would be fun to get this little elf. I am so glad we did. Shes super cute and just what we were looking for. She has 3 cute little accessories.  A flag, a pacifier and a bottle. She also came with a little birth certificate. Her little outfit was well put together. One of her stars on her had had fallen off in shipping... a little glue dot fixed that up fast. Overall great craftsmanship. So cute and so perfect for our little firecracker daughter. Im really pleased.",1
"I love it, I have received many compliments from neighbors & people walking by.",1
Perfect addition to my custom wreath,1
A great addition to my first responder EMT’s stethoscope,1
"Necklace is beautiful.  I love dichroic glass, and the variations of color in the musical note are eye-catching.",1
Looks nice,1
It is nice but very small.,1
"Very easy to apply and you get to choose your colors. However, it is only 25% the size I expected compared to the picture. The advertisement makes it appear that it is about 3 ft tall, taking up a significantly large space above the fireplace. Note in my picture that what I received is only about a foot tall.",1
[[VIDEOID:78bdfbced35efd7f373b16a98107acb3]] Only problem was it not sticking to the paper to put in wall. I just pressed with my scraper and worked!,1
"Minus the creasing, it looks great.  Great value. laying it flat has not release the creases.",1
Very high quality product that is excellent for crafting. We used the letters for the AMERICA in this sign. It took a few coats of paint for good coverage but we were very pleased with the result,1
I love my rings. They are very good quality and a perfect gift .  I,1
"My daughter loves them! Medium sized,…. beautiful!",1
Long dangle shiny,1
This meets my expectations. It is dainty and is secure. Love the lever backs . Looking for more in this style.,1
Loved this necklace until the chain broke in less than 60 days.,0
Nice print,1
The quality was good arrived quickly.,1
Looks good and well made,1
I just opened my Christmas tree diffuser and got it up and working immediately.  I plan to follow the directions to turn the reeds every 4 days or so and look forward to my newly scented fake Christmas tree room!  Much better than getting the scented sprays!  This smells real.,1
Easy to apply. Seems durable.,1
I absolutely love this bow!!! It’s exactly what I was looking for! Very well made!! It was packaged with care. I will definitely buy more from this seller!!,1
Beautiful table runner. Well made. Love the colors. Just took my Valentine’s Day runner off my dining room table and put this on for Spring/Summer. Love the way it looks. Very happy with this purchase.,1
"Its a funny thing to put on your shoes. Good quality, clean color, and funnyas hell.",1
Giftable,1
This was done very well. My daughter loved her gift. Thanks.,1
Love them. Perfect for my planner. Wish they came in a larger quantity!,1
I liked that there were different sizes so I could put a small one in my nose but a larger one in my ear. I wasn't a fan that there was no closure to them as in you have to push the two ends together and hope it's a small enough gap that it doesn't get stuck in your hole.,1
I love this very simple and very motivating wall art. It looks just like the picture said it would. I have no complaints. If anything I am ordering more of these sayings to hang in the kids' room to motivate them.,1
I love these earrings very much even they are fake you can't tell it when you're wearing them the only thing that I don't care for is it took very long time to come and I mean it was approximately maybe 3 months otherwise they're very beautiful very real looking as far as detail is it to put on your ears would buy again,1
I bought this necklace for my daughter for her 20th birthday in October. Opal is her birth stone and this moon necklace was perfect.<br />I have to say the necklace is gorgeous. The opal moon is genuine and very colorful when turned in the light. It is small and dainty but fits her perfectly and she absolutely loves it. She's worn it every day since receiving it.,1
Took a long while to get but that’s because it’s from Russia. Great quality my mom loved it would recommend,1
The size of this towel was so small it was more like a washcloth. I returned it.,0
I like the wood and natural look of this. It does require a daily change of numbers but so much better than an ugly digital calendar on the wall!,1
I bought this for when my baby arrives. It is super cute and soft. I have washed it in the washing machine and it seems to be of pretty good quality. No loose strings. I am very excited to use it! Its absolutely adorable. Just wish it was a little bigger.,1
"I like the look of the bracelet.  However, I put in the address where I first met my boyfriend and when we received it and looked up those coordinates it was 30 miles away. ☹️  Making the personalization on the back “where it all began”, very inaccurate.  Very disappointed.",0
I loved this swaddle and was so excited to get it and the hat for my new grand baby to be brought home in. His nursery is done on Peter Pan. But when it came there was no hat with the swaddle. I was very disappointed. The swaddle was cute!!,0
You can tell that it was hand crafted with care. The wristlet itself felt like it had a slight cushion/filling inside of the straps. Colors are as is. The metal wing is super sturdy and you can easily keep multiple keys/key chains on it w/o the fear it's going to break off. An awesome purchase! :),1
very cheap looking!,0
Had great expierance with owner .Custom made and perfect.,1
Arrived in less than a week. I had expected to wait several weeks. Quality is excellent.  Very well made as the intricate silver work around stones is beautifully done. The real items are even better than the photo. I will be ordering from this company again.,1
"Very pretty bracelet. However, it broke after 6 weeks of wear and it is now out of the return window.",0
"Absolutely beautiful! And the customer service was incredible! They made it in time for my daughter's birthday, which was a bit of a rush. Amazing! Gorgeous craftsmanship and fantastic service! Worth every penny.",1
Works great!,1
My girlfriend loves this necklace.,1
SO IN LOVE! It’s so cute and perfectly made and great for the price.,1
I love the green!!!,1
This sign is extremely well made and very sturdy. Looks great in my mud room.,1
"I enjoy wearing labradorite.  However, when considering this item for purchase I had some reservations.  Would the beads be too small to show any color?  Would it look cheaply made?  Would the stones be of poor quality?  Would I be able to use it with many styles/colors/outfits?  I have been so pleased with this purchase!  I wear it frequently, it works with so many styles/colors/outfits.  The beads are just the right size to be comfortable at this necklace length (for me, a loose choker), and exhibit some very nice ""flash"".  I'll keep these in mind when gifting to close friends!  Very nice, versitile necklace.",1
I love how these came out. They look incredible and I love to use these as thank you cards from my toddler and infant! This is the second set I’ve ordered! I highly recommend them!,1
Simply adorable and helps put together my theme this year!,1
"It’s as big as a small size garden flag, i opted to purchase the flag stand too, very good quality and craftsmanship, it’s one of a kind and that’s exactly what I was looking for",1
Very cute and a nice color!,1
Cheap paper and cheap ink.  Very disappointed.  For $10 ecpected much more.,0
Bought this for my daughter as a grad gift and she LOVED it.,1
Cute and charming little piece. I bought it for my husband and it's stunning when he wears it.,1
"Much smaller than it looks like in the photograph, But it is cute.",1
Great,1
Just love all the color,1
"Great tag, so pretty, and wonderful, fast customer service! Very happy with this company.<br />I first ordered the small moon shaped tag for my 7 lb dog Luna. It came quickly, and was beautiful, but the writing on the back was too small to read. I contacted the seller, and we decided to replace it with the medium size tag, and only use two lines of type on the back side (instead of the allowed three lines).<br />It came 2 days later and is perfect!! It's actually not too big, and can be easily read.<br />Note: I suggest just using one or two phone numbers on the back, especially on the small tag! The large one might accommodate three lines. The two phone numbers on the medium tag are perfect.",1
the colors were so vivid and bright,1
"I like it, I just think it's over priced. It's very simple as shown on picture.",1
"Vibrant and printed on pretty decent quality stock paper.My only complaint, I would have preferred a matte finish..but overall I am satisfied with my purchase..Will update after I have them hung on wall.",1
Lovely,1
Terrific gift for an office coworker farewell!,1
"These are among the cutest earrings I own. I used to have a pair of comedy/tragedy mask earrings way back in the olden days, but those were comparably quite large. These suit my current style rather better and I love that both masks hang from each earring instead of comedy on one and tragedy on the other. I also love that they're small enough that my ears won't feel ""weighed down"" (indeed I expect to find myself doing ""ear checks"" to make sure I haven't lost one).<br />I do find myself wishing the color of the Swarovski crystal were a bit deeper as it's meant to indicate emerald, but that's rather the nature of those crystals and it doesn't detract overall.",1
Very cheaply made. Really thin metal.,0
"The product was perfect for my project, simple but very pretty.  I received the package before expected so that was an added plus.  I will definitely order from this company again.",1
"This mask is definitely NOT ""Bigger Size.""  It is SMALLER than standard Adult Size.  It might be OK for an elementary school child, but it is not OK for a 5'4"" woman who weighs 120 lbs..",0
"I bought these for my bridesmaids and they turned out so nice. I would recommend the 1"" extension for my most size wrists the 2"" was a little much for most of them. Great turn around time and the quality is really nice. I loved how small the bar was and so did my girls. Thanks!",1
I got it in red. Great color and looks lovely at the front of my home.,1
This necklace is exquisitely made.  It was carefully packaged and arrived promptly.  The person I gave it to loved it.,1
These are gorgeous! Hung over bed and they make my room look sophisticated,1
"Smaller than I imagined it, but it looks good on my kids Christmas tree.",1
"Beautiful product! I'm very happy with my purchase and I'm excited to put these decorations on the tree this December.🙂<br /><br />The quality is excellent and the decorations are durable.<br /><br />Arrived very quickly, before estimated delivery time given by Amazon.",1
Great for a grouping I am putting up.,1
This is EXACTLY what I was looking for. Every other necklace about Venezuela was big or plastic. I wanted something of nice quality and very subtle. I like dainty jewelry. This is the cutest necklace ever! I will probably buy one for my mom soon!,1
Very cute choker necklace. Would make a reat gift.,1
like it,1
Perfect gift!,1
"very pretty, and sturdy ring.  would make an excellent gift for anyone.",1
I just love this nice and big and the personalization is wonderful,1
Personalized and pick favorite colors,1
Beautiful Earrings and the packaging was amazing!,1
"I just blew this up with air, not helium, and stuck it to a wall.  It looked super cute.",0
"Beautiful, but should have the rod of Asclepius not the rod of Caduceus.",1
Mask is very cute but was too big for my face,0
High quality. Good looking. Enhances the look in the kitchen. Brings style to the room. Very happy. Go get one.,1
Here’s the owl who has settled in our owl house!,1
"I will need to evaluate the durability of it. I haven’t use it yet. However ,I have seen some changes of colors.",0
These are beautiful! I want to give them as gifts to my mom and friends.,1
My only negative comment has to do with my eyesight…not the product itself. Had to use a magnifying glass.,1
"I absolutely LOVE Turkish handmade line of jewelry, please check them out!!!! They wont disappoint",1
"I don’t understand the negative feedback on this item. It came so delicately wrapped and packaged so well. It turned out way better than I imagined and it holds my cards just fine. No complaints from me on this purchase. It was made with care, shipped with care and I absolutely love it.",1
Perfect fit and I never worry about scratching my screen when docking my Switch anymore.  The craftsmanship is excellent.  Kudos to Bowler Labs for making such a nice product.,1
Worked great for a first birthday outfit!,1
"Arrived fast, and great quality",1
it is great,1
Even more beautiful than I thought it would be. My daughter loves it.,1
Cute little guy. High quality.,1
Loved the sticker!  It arrived sooner than expected.,1
The name was slightly off center so the screws just touch the last letter in her name...,1
Used for catchers helmet and it was perfect,1
Mothers Day gift,1
Another favorite!!,1
